name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name,,
Delta UC-PRG020-12A- DVP Series Programming Cable for DVP PLC,Delta,Industrial Wires & Cables,Communication Cable,PLC Programming Cable,Delta PLC Programming Cable,UC-PRG020-12A,,UC-PRG020-12A,,,Piece,Each,1,Delta UC-PRG020-12A- DVP Series Programming Cable for DVP PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721887172-Product-delta 2 pic.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
"Delta UC-MS030-01A- Communication cable for PLC (8-pin mini-DIN male) to PC, 3M",Delta,Industrial Wires & Cables,Communication Cable,PLC Programming Cable,Delta PLC Programming Cable,UC-MS030-01A,,UC-MS030-01A,,,Piece,Each,1,"Delta UC-MS030-01A- Communication cable for PLC (8-pin mini-DIN male) to PC, 3M",,,,,,,,,,,,,,,,,,,,,,,,,,,,1721887236-Product-delta 3.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 1 M,Murr Elektronik,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 1 M,7000-74711-4780100,,7000-74711-4780100,,,Piece,Each,1,Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 1 M,,,,,,Current Rating,1.5 A,Voltage Rating,60 V DC,Cable Length,1 M,UL Rating,25V DC/ 1.0 A,,,,,,,,,,,,,,,1721885714-Product-WhatsApp Image 2024-07-24 at 5.11.24 AM.jpeg,,,18%,,,,,,,,,1,4-5 Days,,,
Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 2 M,Murr Elektronik,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 2 M,7000-74711-4780100,,7000-74711-4780100,,,Piece,Each,1,Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 2 M,,,,,,Current Rating,1.5 A,Voltage Rating,60 V DC,Cable Length,1 M,UL Rating,25V DC/ 1.0 A,,,,,,,,,,,,,,,1721885714-Product-WhatsApp Image 2024-07-24 at 5.11.24 AM.jpeg,,,18%,,,,,,,,,1,4-5 Days,,,
Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 3 M,Murr Elektronik,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 3 M,7000-74711-4780100,,7000-74711-4780100,,,Piece,Each,1,Murr Elektronik 7000-74711-4780100- Ethernet Patch Cable 3 M,,,,,,Current Rating,1.5 A,Voltage Rating,60 V DC,Cable Length,1 M,UL Rating,25V DC/ 1.0 A,,,,,,,,,,,,,,,1721885714-Product-WhatsApp Image 2024-07-24 at 5.11.24 AM.jpeg,,,18%,,,,,,,,,1,4-5 Days,,,
PLC Programming Cables For Delta PLC Communication Length 3 to 75 mtr,Delta,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 3 to 75 mtr,,,,,,Piece,Each,1,PLC Programming Cables For Delta PLC Communication Length 3 to 75 mtr,,1721892761-Product-pics cable.PNG,,,,Length,3 to 75 mtr,,,,,,,,,,,,,,,,,,,,,1721892289-Product-MITSUBI OMRON DELTA.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
PLC Programming Cables For Mitsubishi PLC Communication Length 3 to 75 mtr,Mitsubishi Electric,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 3 to 75 mtr,,,,,,Piece,Each,1,PLC Programming Cables For Mitsubishi PLC Communication Length 3 to 75 mtr,,1721892761-Product-pics cable.PNG,,,,Length,3 to 75 mtr,,,,,,,,,,,,,,,,,,,,,1721892289-Product-MITSUBI OMRON DELTA.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
PLC Programming Cables For Omron PLC Communication Length 3 to 75 mtr,Omron,Industrial Wires & Cables,Ethernet Patch Cord Cable,Ethernet Communication Cable,Ethernet Patch Cable 3 to 75 mtr,,,,,,Piece,Each,1,PLC Programming Cables For Omron PLC Communication Length 3 to 75 mtr,,1721892761-Product-pics cable.PNG,,,,Length,3 to 75 mtr,,,,,,,,,,,,,,,,,,,,,1721892289-Product-MITSUBI OMRON DELTA.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
Black PVC Delta Plc Programming Cable,Delta,Industrial Wires & Cables,Communication Cable,PLC Programming Cable,,,,,,,Piece,Each,1,Black PVC Delta Plc Programming Cable,,,,,,Length,3 mtr,Material,PVC,Features,Molded cable,Usage/Application,Delta plc communication cable,,,,,,,,,,,,,,,1721893171-Product-delta cable pics.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
Black PVC Mitsubishi PLC Programming Cable,Mitsubishi Electric,Industrial Wires & Cables,Communication Cable,PLC Programming Cable,,,,,,,Piece,Each,1,Black PVC Mitsubishi PLC Programming Cable,,,,,,Length,3 mtr,Color,Black,Voltage,220V,,,,,,,,,,,,,,,,,1721899100-Product-cable blak.PNG,,,18%,,,,,,,,,1,4-5 Days,,,
