name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a+BA:BA,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time,accesoriess_cat_name
"Air Handling Units, Heat Exchange",Reputed,Customized Product,Air Handling System,Air Handling Units,Air Handling Units For Air Handling Units,,,,,,Piece,Each,1,"We Offer Customized Air Handling Units Comprising Of A Combination Of One Or More Sections from available range, viz. Fan Section, Chilled Water Coil Section, Heating Coil Section, Filtration Sections, Face/Bypass damper Sections, Mixing Section, Humidification Section, etc",,,,,,Usase,Heat Exchange,Type,Cool & Hot,,,,,,,,,,,,,,,,,,,1719048617-Product-Air Handling Units.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Air Terminal Devices, Colour-White",Reputed,Customized Product,Air Handling System,Air Terminal Devices,Air Terminal Devices For Air Handling Units,,,,,,Piece,Each,1,"Our Terminal Devices Are Designed To Ensure A Long Trouble Free But Satisfactory Operation and can be offered in GI, Aluminium and SS construction except for jet (diffuser) nozzles which is available in Aluminium construction only.",,,,,,Color,White,Application,HVAC,,,,,,,,,,,,,,,,,,,1719048627-Product-Air Terminal Devices.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Air Washer Units, Cooling Device",Reputed,Customized Product,Air Handling System,Air Washer Units,Air Washer Units For Air Handling Units,,,,,,Piece,Each,1,The Evaporative Air Cooling Process Is An Adiabatic Process Where The outlet air conditions are entirely dependent on the inlet air conditions without addition or removal of energy from the air stream.,,,,,,Device Type,Cooling Device,,,,,,,,,,,,,,,,,,,,,1719048635-Product-Air Washer Units.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Tube Axial Fans, Angle-Fixed & Variable",Reputed,Customized Product,Air Handling System,Tube Axial Fans,Tube Axial Fans For Air Handling Units,,,,,,Piece,Each,1,"Use Of Fixed Angle Blades And Variable Angle Blades, We Also Offer Flexibility In Fan Selection Over A Wide range of duty static pressures. The axial impellers can be provided in short casing models for wall mounting or long casing models for duct inline applications",,,,,,Delivery Range,850 CFM To 45000 CFM,Angle,Fixed & Variable,,,,,,,,,,,,,,,,,,,1719048642-Product-Tube Axial Fans.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Bag Filters And Cyclones, Dust Collection",Reputed,Customized Product,Air Handling System,Bag Filters And Cyclones,Bag Filters And Cyclones For Air Handling Units,,,,,,Piece,Each,1,"While The Cyclone Initiates The Dust Separation Process, Final Dust Separation And Collection For A Variety of industrial applications can be achieved by use of bag filters.",,,,,,Application,Dust Collection,Filter,Pulse Jet Bag,,,,,,,,,,,,,,,,,,,1719048650-Product-Bag Filters And Cyclones.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Air Locks, Rotary Air Lock",Reputed,Customized Product,Air Handling System,Air Locks,Air Locks For Air Handling Units,,,,,,Piece,Each,1,Rotary Air Locks In Cast Body With Shaft MOC In MS And SS Options,,,,,,Use,Food & Cement Industry,Type,Rotary Air Lock,,,,,,,,,,,,,,,,,,,1719048658-Product-Air Locks.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Dampers, Flow Control Of Air",Reputed,Customized Product,Air Handling System,Dampers,Dampers For Air Handling Units,,,,,,Piece,Each,1,"Damper A Mechanical Device In A Duct Or Chimney That Regulates Airflow. We Can provide parallel blade low leakage MS or Aluminium dampers for ON & OFF application, which may be used for occasional isolation of one line from another",,,,,,Use,Flow Control Of Air,Design,Sturdy Design Blended,,,,,,,,,,,,,,,,,,,1719048666-Product-Dampers.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Louvers, Aluminium And Stainless Steel",Reputed,Customized Product,Air Handling System,Louvers,Louvers For Air Handling Units,,,,,,Piece,Each,1,"A Stream Of Air Moving Across The Louver Is Forced To Turn At Steep Vertical Angles in an upward direction, thereby allowing bigger dust particles to separate and deposit at louver entry.",,,,,,Angles,Steep Vertical,Direction,Upward,Material,Aluminium And Stainless Steel,,,,,,,,,,,,,,,,,1719048678-Product-Louvers.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Roof Extractors, Protection-Rain",Reputed,Customized Product,Air Handling System,Roof Extractors,Roof Extractors For Air Handling Units,,,,,,Piece,Each,1,"Roof Extractors Comprises Of A Tube Axial Fan,Suitably Modified To Accomodate Rain Protection Hood and provided with fixing arrangement for roof mounting",,,,,,Diameter,Upto 1000MM,Protection,Rain,Extractors,Heat And Fume,,,,,,,,,,,,,,,,,1719048686-Product-Roof Extractors.PNG,,,18%,,,,,,,,,1,1-2 Days,
"Centrifugal Fans, WC Pressure-1500MM",Reputed,Customized Product,Air Handling System,Centrifugal Fans,Centrifugal Fans For Air Handling Units,,,,,,Piece,Each,1,"Centrifugal Fans Range Of Ventilation Fans And Upto 1500mm WC Pressures Of Industrial Application Fans Which Are Suitable For Both Clean air applications, as well as, dust laden air.",,,,,,WC Pressures,1500 MM,Covers,SISW & DIDW,,,,,,,,,,,,,,,,,,,1719048695-Product-Centrifugal Fans.PNG,,,18%,,,,,,,,,1,1-2 Days,
