name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time
"Dowell's, CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-59,CP-Series,CP-59,500,385,Piece,(1 Pack of 200 No),1,"CP-59-Pin Terminal Non-insulated Thimble,Wires Size-0.75 Sq.mm",,,,,,Wires Size,0.75 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-44-Pin Terminal Non-Insulated Thimble,Wires Size-1 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-44,CP-Series,CP-44,500,385,Piece,(1 Pack of 200 No),1,"CP-44-Pin Terminal Non-insulated Thimble,Wires Size-1 Sq.mm",,,,,,Wires Size,1 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-9 -Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-9,CP-Series,CP-9,500,385,Piece,(1 Pack of 200 No),1,"CP-9 -Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",,,,,,Wires Size,1.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-35-Pin Terminal Non-Insulated Thimble,Wires Size-1.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-35,CP-Series,CP-35,560,431.2,Piece,(1 Pack of 200 No),1,"CP-35-Pin Terminal Non-insulated Thimble,Wires Size-1.5 Sq.mm",,,,,,Wires Size,1.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-1,CP-Series,CP-1,500,385,Piece,(1 Pack of 200 No),1,"CP-1-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",,,,,,Wires Size,2.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-2-Pin Terminal Non-Insulated Thimble,Wires Size-2.5 Sq.mm. (1 Pack of 200 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-2,CP-Series,CP-2,500,385,Piece,(1 Pack of 200 No),1,"CP-2-Pin Terminal Non-insulated Thimble,Wires Size-2.5 Sq.mm",,,,,,Wires Size,2.5 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-86-Pin Terminal Non-Insulated Thimble,Wires Size-25 Sq.mm. (1 Pack of 13 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-86,CP-Series,CP-86,364,280.28,Piece,(1 Pack of 13 No),1,"CP-86-Pin Terminal Non-insulated Thimble,Wires Size-25 Sq.mm",,,,,,Wires Size,25 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-87-Pin Terminal Non-Insulated Thimble,Wires Size-35 Sq.mm. (1 Pack of 10 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-87,CP-Series,CP-87,370,284.9,Piece,(1 Pack of 10 No),1,"CP-87-Pin Terminal Non-insulated Thimble,Wires Size-35 Sq.mm",,,,,,Wires Size,35 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-3-Pin- Terminal Non-Insulated Thimble,Wires Size-4 Sq.mm. (Pack Of 80 Nos.)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-3,CP-Series,CP-3,384,295.68,Piece,(Pack Of 80 Nos.),1,"CP-3-Pin Terminal Non-insulated Thimble,Wires Size-4 Sq.mm",,,,,,Wires Size,4 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
"Dowell's, CP-5-Pin- Terminal Non-Insulated Thimble,Wires Size-6 Sq.mm. (1 Pack of 80 No)",Dowell's,Panel & Panel Accessories,Panel Accessories,Thimbles,Non-Insulated,CP-5,CP-Series,CP-5,384,295.68,Piece,(Pack Of 80 Nos.),1,"CP-5-Pin Terminal Non-insulated Thimble,Wires Size-6 Sq.mm",,,,,,Wires Size,6 Sq.mm,,,,,,,,,,,,,,,,,,,,,1710928464-Product-Screenshot 2024-03-20 150644.png,,,18%,,,,,,,,,1,1-2 Days
