name,brand,main_category,c1_category,c2_category,leaf_category,artical_no,series_name,model_no,mrp,seling_price,unit_of_measurement,selling_unit,magnitude_of_uom,description,image_1,image_2,image_3,image_4,image_5,attribute1a,attribute1b,attribute2a,attribute2b,attribute3a,attribute3b,attribute4a,attribute4b,attribute5a,attribute5b,attribute6a,attribute6b,attribute7a,attribute7b,attribute8a,attribute8b,attribute9a,attribute9b,attribute10a,attribute10b,attribute11a,attribute11b,image,sku_code,hsn,tax,catalogue_url,is_return_available,return_day,faq,width,height,depth,weight,min_quantity,ship_time
"Fuji Electric FRN0004C2S-7A, Single Phase FRENIC-Mini Drive",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0004C2S-7A,FRN,FRN0004C2S-7A,17000,14620,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),0.4,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),1.3,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),3.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,,,,1711005220-Product-Screenshot 2024-03-21 120113.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,80mm,120mm,95mm,,1,1-2 Days
"Fuji Electric FRN0005C2S-4A, Three Phase 2.2 Kw Variable Frequency Drive",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0005C2S-4A,FRN,FRN0005C2S-4A,26000,22360,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),1.5,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),3.2,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),380 to 480,Output rated current(A),4.3,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,,,,1711005373-Product-Screenshot 2024-03-21 124603.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,110mm,130mm,139mm,,1,1-2 Days
"Fuji Electric FRN0006C2S-2A, Three Phase FRENIC-Mini AC Drive",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0006C2S-2A,FRN,FRN0006C2S-2A,19000,16150,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),0.75,Input voltage class,Three-Phase 200 V,Output Specification,Three-Phase,Output capacity(kVA),2,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),5.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,,,,1711005555-Product-Screenshot 2024-03-21 124904.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,80mm,120mm,120mm,,1,1-2 Days
"Fuji Electric FRN0006C2S-7A, Fuji Mini VFD, Single Phase, 0.75kw / 1hp",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0006C2S-7A,FRN,FRN0006C2S-7A,19000,16150,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),0.75,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),2,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),5.5,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Natural cooling,,,1711006161-Product-Screenshot 2024-03-21 125912.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,80mm,120mm,140mm,,1,1-2 Days
"Fuji Electric FRN0010C2S-7A, Single Phase FRENIC-Mini AC Drive,",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0010C2S-7A,FRN,FRN0010C2S-7A,23500,19975,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),1.5,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),3.5,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),9.2,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Fan cooling,,,1711006567-Product-Screenshot 2024-03-21 130559.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,110mm,130mm,149mm,,1,1-2 Days
"Fuji Electric FRN0012C2S-7A, Single Phase FRENIC-Mini AC Drive,",Fuji Electric,Factory Automation,Variable Frequency Drive,Single Phase Variable Frequency Drive,Inverter,FRN0012C2S-7A,FRN,FRN0012C2S-7A,27500,23100,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),2.2,Input voltage class,Single-Phase 200 V,Output Specification,Single-Phase,Output capacity(kVA),4.5,Output voltage 50Hz(V),200 to 240,Output voltage 60 Hz(V),200 to 240,Output rated current(A),12,Structure,Standard Form,Protective Structure,IP20 enclosed type,Cooling method,Fan cooling,,,1711011647-Product-Screenshot 2024-03-21 143038.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,180mm,140mm,139mm,,1,1-2 Days
"Fuji Electric FRN0018C2S-4A, Three Phase FRENIC-Mini Inverter,",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0018C2S-4A,FRN,FRN0018C2S-4A,54000,45360,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),7.5,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),13,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),180,Output rated current(A),18,Structure,Standard Form,Protective Structure,IP20 (IEC 60529:1989) / UL open type (UL 50),Cooling method,Fan cooling,,,1711012251-Product-Screenshot 2024-03-21 144042.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,180mm,220mm,158mm,,1,1-2 Days
"Fuji Electric FRN0024C2S-4A, Three Phase FRENIC-Mini",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0024C2S-4A,FRN,FRN0024C2S-4A,68500,57540,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),11,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),18,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),220,Output rated current(A),24,Structure,Standard Form,Protective Structure,IP20 (IEC 60529:1989) / UL open type (UL 50),Cooling method,Fan cooling,,,1711012794-Product-Screenshot 2024-03-21 144943.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,220mm,260mm,190mm,,1,1-2 Days
"Fuji Electric FRN0030C2S-4A, Three Phase Inverter FRENIC-Mini",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0030C2S-4A,FRN,FRN0030C2S-4A,75000,63000,Piece,Each,1,"Compact, yet high-functioning. Easy to use and can meet various needs. Uses our proprietary dynamic torque vector control that has an established reputation in our high-end models. Can output more stable torque even at low speeds. As a result, it can be used for a wide range of applications where high starting torque is required, such as heavy inertial load, transport machinery, etc.",,,,,,Applicable motor capacity(kW),15,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),22,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),220,Output rated current(A),30,Structure,Standard Form,Protective Structure,IP20 (IEC 60529:1989) / UL open type (UL 50),Cooling method,Fan cooling,,,1711013047-Product-Screenshot 2024-03-21 145358.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0037,,,,220mm,260mm,190mm,,1,1-2 Days
"Fuji Electric FRN0059E2S-4GB, Three Phase Inverter FRENIC-Ace",Fuji Electric,Factory Automation,Variable Frequency Drive,Three Phase Variable Frequency Drive,Inverter,FRN0059E2S-4GB,FRN,FRN0059E2S-4GB,110000,92400,Piece,Each,1,"A next-generation inverter to drive a new era. The combination of each type of internal processing function in the inverter can provide the necessary control functions for your mechanical equipment/applications without the need for an external circuit, such as a simple PLC or external relay, timer, etc.",,,,,,Applicable motor capacity(kW),18.5,Input voltage class,Three-phase 400V,Output Specification,Three-Phase,Output capacity(kVA),30,Output voltage 50Hz(V),380 to 480,Output voltage 60 Hz(V),250,Output rated current(A),39,Structure,Standard Form,Protective Structure,"IP20, UL open type",Cooling method,Fan cooling,,,1711013099-Product-Screenshot 2024-03-21 145451.png,,85044090,18,https://th.c.misumi-ec.com/en/book/FJE1_ENG_E01/digitalcatalog.html?page_num=0002,,,,250mm,400mm,195mm,,1,1-2 Days
